tavg_Belo Horizonte,prcp_Belo Horizonte,tavg_Contagem,prcp_Contagem,tavg_Ribeirão das Neves,prcp_Ribeirão das Neves,tavg_Ibirité,prcp_Ibirité,tavg_Janaúba,prcp_Janaúba,tavg_Pedro Leopoldo,prcp_Pedro Leopoldo,tavg_Ponte Nova,prcp_Ponte Nova,tavg_São Gotardo,prcp_São Gotardo,tavg_Perdizes,prcp_Perdizes
24.9,,,,25.1,,,,,,,,,,,,,
21.4,,,,22.6,,,,,,,,,,,,,
21.6,,,,22.6,,,,,,,,,,,,,
21.3,,,,22.2,,,,,,,,,,,,,
22.2,,,,23.3,,,,,,,,,,,,,
23.8,,,,24.5,,,,,,,,,,,,,
25.2,,,,25.2,,,,,,,,,,,,,
24.6,,,,24.5,,,,,,,,,,,,,
24.7,,,,25.2,,,,,,,,,,,,,
24.8,,,,26.8,,,,,,,,,,,,,
25.2,,,,27.0,,,,,,,,,,,,,
27.2,,,,27.6,,,,,,,,,,,,,
26.6,,,,27.5,,,,,,,,,,,,,
24.1,,,,24.6,,,,,,,,,,,,,
25.1,,,,25.8,,,,,,,,22.1,,,,24.6,
24.4,,,,25.6,,,,,,,,,,,,24.7,
23.3,,,,23.9,,,,,,,,,,,,23.7,
23.3,,,,24.3,,,,,,,,,,,,22.6,
23.5,,,,24.2,,,,,,,,,,,,23.0,
22.8,,,,23.3,,,,,,,,,,,,21.5,
21.7,,,,22.8,,,,,,,,,,,,22.6,
22.2,,,,23.5,,,,,,,,,,,,22.5,
20.6,,,,21.0,,,,,,,,,,,,21.2,
20.9,,,,21.6,,,,,,,,,,,,20.9,
21.3,,,,22.6,,,,,,,,,,,,21.8,
22.4,,,,23.8,,,,,,,,,,,,22.9,
22.9,,,,23.7,,,,,,,,,,,,24.0,
24.0,,,,25.0,,,,,,,,,,,,,
22.3,,,,23.4,,,,,,,,,,,,,
25.1,,,,26.0,,,,,,,,23.9,,,,23.9,
25.8,,,,26.4,,,,,,,,,,,,,
25.9,,,,26.8,,,,,,,,,,,,23.3,
25.8,,,,26.0,,,,,,,,,,,,24.2,
25.3,,,,26.3,,,,,,,,23.6,,,,,
25.2,,,,25.8,,,,,,,,,,,,,
22.1,,,,22.8,,,,,,,,,,,,21.6,
21.0,,,,21.4,,,,,,,,,,,,20.7,
21.2,,,,22.8,,,,,,,,,,,,,
21.9,,,,22.6,,,,,,,,,,,,,
21.2,,,,22.2,,,,,,,,,,,,,
23.3,,,,24.4,,,,,,,,24.1,,,,,
21.5,,,,22.0,,,,,,,,,,,,,
21.3,,,,22.3,,,,,,,,,,,,,
21.2,,,,21.6,,,,,,,,,,,,21.8,
22.6,,,,23.4,,,,,,,,,,,,22.8,
24.4,,,,25.1,,,,,,,,,,,,,
23.6,,,,24.3,,,,,,,,,,,,23.1,
22.6,,,,23.9,,,,,,,,,,,,22.2,
24.3,,,,24.5,,,,,,,,23.5,,,,,
23.9,,,,24.8,,,,,,,,,,,,,
24.6,,,,25.1,,,,,,,,23.0,,,,,
24.1,,,,25.1,,,,,,,,22.5,,,,21.0,
23.4,,,,24.7,,,,,,,,22.6,,,,,
21.5,,,,22.3,,,,,,,,19.6,,,,,
21.7,,,,22.0,,,,,,,,,,,,,
22.9,,,,24.2,,,,,,,,22.6,,,,,
23.4,,,,23.8,,,,,,,,22.9,,,,,
23.6,,,,24.7,,,,,,,,,,,,,
